Microsoft (R) COFF/PE Dumper Version 14.35.32215.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\winmm.dll

File Type: DLL

  Section contains the following exports for WINMM.dll

    00000000 characteristics
    5DCFFCC9 time date stamp
        0.00 version
           2 ordinal base
         181 number of functions
         180 number of names

    ordinal hint RVA      name

          4    0 0000FFA0 CloseDriver
          5    1 0000FFC0 DefDriverProc
          6    2 0000FFE0 DriverCallback
          7    3 0000FFF0 DrvGetModuleHandle
          8    4 00010010 GetDriverModuleHandle
          9    5 00010040 OpenDriver
         10    6 00010030 PlaySound
         11    7 0001B8C0 PlaySoundA
         12    8 00005030 PlaySoundW
         13    9 00010060 SendDriverMessage
         14    A 0001C810 WOWAppExit
         15    B 00010080 auxGetDevCapsA
         16    C 000100A0 auxGetDevCapsW
         17    D 000100C0 auxGetNumDevs
         18    E 000100E0 auxGetVolume
         19    F 00010100 auxOutMessage
         20   10 00010120 auxSetVolume
         21   11 0000F1C0 joyConfigChanged
         22   12 0000F230 joyGetDevCapsA
         23   13 0000F530 joyGetDevCapsW
         24   14 0000F640 joyGetNumDevs
         25   15 0000F650 joyGetPos
         26   16 000072B0 joyGetPosEx
         27   17 0000F6D0 joyGetThreshold
         28   18 0000FAE0 joyReleaseCapture
         29   19 0000FBA0 joySetCapture
         30   1A 0000FE20 joySetThreshold
         31   1B 00016520 mciDriverNotify
         32   1C 000097F0 mciDriverYield
          3   1D 000113F0 mciExecute
         33   1E 000143A0 mciFreeCommandResource
         34   1F 00016930 mciGetCreatorTask
         35   20 000169B0 mciGetDeviceIDA
         36   21 00016A10 mciGetDeviceIDFromElementIDA
         37   22 00016A70 mciGetDeviceIDFromElementIDW
         38   23 00016B80 mciGetDeviceIDW
         39   24 00016BB0 mciGetDriverData
         40   25 000126C0 mciGetErrorStringA
         41   26 000127E0 mciGetErrorStringW
         42   27 00016C60 mciGetYieldProc
         43   28 000145A0 mciLoadCommandResource
         44   29 00012B10 mciSendCommandA
         45   2A 00009BA0 mciSendCommandW
         46   2B 000133B0 mciSendStringA
         47   2C 000135C0 mciSendStringW
         48   2D 000171E0 mciSetDriverData
         49   2E 000172A0 mciSetYieldProc
         50   2F 00010140 midiConnect
         51   30 00010160 midiDisconnect
         52   31 00009680 midiInAddBuffer
         53   32 00010180 midiInClose
         54   33 000101A0 midiInGetDevCapsA
         55   34 0000C120 midiInGetDevCapsW
         56   35 000101C0 midiInGetErrorTextA
         57   36 000101E0 midiInGetErrorTextW
         58   37 00010200 midiInGetID
         59   38 0000BC40 midiInGetNumDevs
         60   39 0000C1C0 midiInMessage
         61   3A 00010220 midiInOpen
         62   3B 000096C0 midiInPrepareHeader
         63   3C 00010240 midiInReset
         64   3D 00010260 midiInStart
         65   3E 00010280 midiInStop
         66   3F 000102A0 midiInUnprepareHeader
         67   40 000102C0 midiOutCacheDrumPatches
         68   41 000102E0 midiOutCachePatches
         69   42 00010300 midiOutClose
         70   43 00010320 midiOutGetDevCapsA
         71   44 0000C200 midiOutGetDevCapsW
         72   45 00010340 midiOutGetErrorTextA
         73   46 00010360 midiOutGetErrorTextW
         74   47 00010380 midiOutGetID
         75   48 000103A0 midiOutGetNumDevs
         76   49 000103C0 midiOutGetVolume
         77   4A 0000BCC0 midiOutLongMsg
         78   4B 0000C180 midiOutMessage
         79   4C 000103E0 midiOutOpen
         80   4D 0000BCE0 midiOutPrepareHeader
         81   4E 00010400 midiOutReset
